,frameID,groupID,x,y,w,h,segment_num,dataset
196,242,8,272.75,186.45,51.87,58.29,1,train
197,243,1,80.03,183.3,53.99,60.25,1,train
198,243,8,249.22,189.43,72.62,55.89,1,train
199,244,1,77.17,182.46,55.27,59.73,1,train
200,244,8,259.14,190.57,61.93,55.13,1,train
201,245,1,78.74,181.71,54.72,60.76,1,train
202,245,8,269.31,191.63,53.51,54.32,1,train
203,246,1,79.96,180.48,54.96,63.26,1,train
204,246,8,275.33,191.59,49.83,55.28,1,train
205,247,1,80.44,180.65,55.03,63.49,1,train
206,247,8,276.01,191.3,50.52,56.19,1,train
207,248,1,81.52,181.07,55.04,63.19,1,train
208,248,8,277.11,191.24,50.72,56.87,1,train
209,249,1,84.18,181.67,54.59,63.56,1,train
210,249,8,279.54,191.68,50.71,55.39,1,train
211,250,1,83.15,179.8,55.09,65.19,1,train
212,250,8,265.75,191.68,65.65,54.7,1,train
213,251,1,82.15,178.11,55.9,65.42,1,train
214,251,8,272.06,188.93,59.48,55.73,1,train
215,252,1,85.0,177.04,56.32,64.96,1,train
216,252,8,284.41,188.24,70.61,55.16,1,train
217,253,1,80.65,175.6,57.44,65.1,1,train
218,253,8,287.39,186.82,47.21,55.46,1,train
219,254,1,78.03,174.12,58.31,66.15,1,train
220,254,8,288.28,185.31,45.24,56.02,1,train
221,255,1,76.84,173.32,56.06,66.03,1,train
222,255,8,288.66,184.24,44.26,56.28,1,train
223,256,1,74.95,170.89,55.78,66.88,1,train
224,256,8,288.05,184.18,44.16,55.35,1,train
225,257,1,74.31,170.14,55.3,67.25,1,train
226,257,8,288.31,184.46,43.84,54.32,1,train
227,258,1,71.51,168.62,55.49,69.26,1,train
228,258,8,288.26,185.62,43.45,52.51,1,train
229,259,1,69.72,168.28,54.79,70.22,1,train
230,259,8,287.96,186.36,42.17,51.74,1,train
231,260,1,69.05,168.33,54.7,70.9,1,train
232,260,8,288.54,186.56,42.17,51.6,1,train
233,261,1,69.01,170.06,52.36,69.42,1,train
234,261,8,288.73,186.86,42.44,51.86,1,train
235,262,1,68.58,171.25,51.74,68.5,1,train
236,262,8,288.98,186.45,42.49,51.97,1,train
237,263,1,69.47,169.41,53.41,70.73,1,train
238,263,8,290.73,185.2,41.72,53.01,1,train
239,264,1,73.5,169.07,53.62,70.89,1,train
240,264,8,295.89,185.66,40.77,51.65,1,train
241,265,1,79.09,169.53,51.56,70.19,1,train
242,265,8,300.34,185.51,41.26,52.06,1,train
243,266,1,85.47,173.2,49.8,65.85,1,train
244,266,8,304.48,185.9,40.88,52.67,1,train
245,267,1,92.79,174.47,48.05,65.18,1,train
246,267,8,312.25,188.2,40.87,51.13,1,train
247,268,1,95.5,174.05,51.8,66.17,1,train
248,268,8,318.38,189.43,40.01,50.89,1,train
249,269,1,102.76,175.05,51.3,66.72,1,train
250,269,8,324.98,190.76,40.37,49.33,1,train
251,270,1,110.19,176.56,51.19,66.75,1,train
252,270,8,331.06,190.35,40.95,50.89,1,train
253,271,1,115.15,177.83,52.08,67.64,1,train
254,271,8,338.07,193.16,39.13,47.78,1,train
255,272,1,117.15,177.85,55.33,67.48,1,train
256,272,8,343.0,193.84,39.13,48.55,1,train
257,273,1,118.65,177.95,57.52,69.04,1,train
258,273,8,348.17,194.57,38.71,47.37,1,train
259,274,1,118.85,177.38,58.52,70.93,1,train
260,274,8,350.11,195.34,39.4,47.6,1,train
261,275,1,117.88,176.28,59.19,73.44,1,train
262,275,8,350.64,195.42,39.6,48.01,1,train
263,276,1,126.52,177.52,53.2,73.02,1,train
264,276,8,356.97,195.69,36.64,48.17,1,train
265,278,1,93.55,174.32,62.69,72.36,1,train
266,278,8,335.92,191.97,42.7,48.07,1,train
267,279,1,92.3,174.05,62.59,71.17,1,train
268,279,8,335.49,190.02,44.02,49.45,1,train
269,280,1,93.34,173.39,62.22,71.89,1,train
270,280,8,337.24,189.49,44.47,48.7,1,train
271,281,1,93.43,173.61,62.17,70.46,1,train
272,281,8,339.73,187.97,45.22,49.44,1,train
273,282,1,91.64,173.68,63.49,71.12,1,train
274,282,8,341.24,188.28,45.04,49.02,1,train
275,283,1,89.03,173.91,65.13,72.37,1,train
276,283,8,342.46,188.14,44.76,49.76,1,train
277,284,1,83.88,173.63,69.06,72.52,1,train
278,284,8,342.62,188.73,44.79,49.67,1,train
279,285,1,81.51,173.45,68.32,73.52,1,train
280,285,8,343.65,189.25,44.66,49.6,1,train
281,286,1,68.3,172.31,71.28,77.9,1,train
282,286,8,339.0,189.26,45.54,50.27,1,train
283,287,1,54.95,172.25,72.83,78.87,1,train
284,287,8,333.44,190.84,44.97,47.76,1,train
285,288,1,43.2,171.63,73.84,79.24,1,train
286,288,8,327.73,190.41,46.48,48.54,1,train
287,289,1,35.8,168.54,75.49,84.26,1,train
288,289,8,325.31,190.49,46.09,47.97,1,train
289,290,1,28.8,166.25,77.89,86.52,1,train
290,290,8,323.75,190.17,46.38,48.53,1,train
291,291,1,20.92,165.97,80.29,86.27,1,train
292,291,8,323.07,189.1,46.9,48.6,1,train
293,292,1,14.97,166.35,83.25,86.73,1,train
294,292,8,323.07,188.57,48.0,48.82,1,train
295,293,1,11.9,167.15,84.88,85.31,1,train
296,293,8,324.46,189.32,48.29,47.62,1,train
297,294,1,8.97,165.72,87.0,85.86,1,train
298,294,8,324.87,188.55,48.24,47.38,1,train
299,295,1,6.64,165.3,85.04,86.89,1,train
300,295,8,325.41,188.84,48.34,46.52,1,train
301,296,1,0.77,165.11,88.46,87.42,1,train
302,296,8,326.84,188.76,47.54,46.4,1,train
303,297,1,1.0,163.4,85.54,90.82,1,train
304,297,8,328.0,188.63,46.67,46.22,1,train
305,298,1,1.0,162.22,84.05,93.42,1,train
306,298,8,329.11,188.68,46.24,47.03,1,train
307,299,1,1.0,161.63,83.73,94.03,1,train
308,299,8,332.16,190.46,46.83,45.95,1,train
309,300,1,1.88,162.86,84.65,93.67,1,train
310,300,8,320.01,190.07,63.5,47.57,1,train
311,301,1,3.74,165.26,84.64,92.75,1,train
312,301,8,320.92,189.76,66.52,49.6,1,train
313,302,1,6.34,166.38,86.19,92.91,1,train
314,302,8,329.83,190.11,76.72,50.26,1,train
315,303,1,8.2,167.79,86.2,92.15,1,train
316,303,8,334.28,189.83,72.61,51.36,1,train
317,304,1,7.37,169.74,87.09,92.32,1,train
318,304,8,340.68,193.33,60.29,48.33,1,train
319,305,1,5.01,169.54,86.04,92.7,1,train
320,305,8,357.36,194.28,44.9,47.93,1,train
321,306,1,0.93,167.3,88.38,96.19,1,train
322,306,8,321.93,194.55,82.61,47.59,1,train
323,307,1,1.0,166.59,85.63,96.07,1,train
324,307,8,322.93,195.79,82.36,44.91,1,train
325,308,1,1.0,166.0,85.97,95.11,1,train
326,308,8,323.46,191.92,94.08,46.71,1,train
327,309,1,1.0,165.02,85.66,96.25,1,train
328,309,8,340.33,190.52,78.68,46.2,1,train
329,310,1,1.0,163.12,84.89,98.23,1,train
330,310,8,343.58,188.64,66.49,45.52,1,train
331,311,1,1.0,162.77,84.66,98.23,1,train
332,311,8,333.48,187.7,78.44,46.49,1,train
333,312,1,1.0,162.34,86.7,100.32,1,train
334,312,8,335.44,188.86,81.31,46.54,1,train
335,313,1,1.0,159.35,83.2,103.61,1,train
336,313,8,346.88,190.4,67.83,45.75,1,train
337,314,1,1.0,156.02,80.35,106.55,1,train
338,314,8,376.37,191.31,37.55,45.16,1,train
339,315,1,1.0,150.37,84.07,109.03,1,train
340,315,8,381.01,192.72,38.22,44.37,1,train
341,316,1,1.0,152.67,79.43,107.91,1,train
342,316,8,381.46,191.61,49.1,47.29,1,train
343,317,1,1.0,148.73,71.31,113.72,1,train
344,317,8,380.89,190.43,51.26,44.72,1,train
345,318,1,1.0,148.39,63.24,114.49,1,train
346,318,8,380.09,188.12,37.74,44.76,1,train
347,319,8,377.13,186.24,36.59,44.41,1,train
348,320,8,378.54,185.62,35.78,44.26,1,train
349,320,9,332.95,185.62,22.35,31.45,1,train
350,321,8,342.71,186.23,50.01,40.3,1,train
351,324,10,335.13,190.49,37.56,43.3,1,train
352,325,10,329.74,190.75,34.35,40.34,1,train
353,326,10,327.72,190.41,32.62,39.96,1,train
354,327,10,326.87,191.28,32.75,39.91,1,train
355,328,10,323.06,193.11,35.45,40.29,1,train
356,329,10,321.57,193.97,48.93,41.2,1,train
357,330,10,321.26,193.93,47.55,42.01,1,train
358,331,10,321.15,193.59,35.86,42.64,1,train
359,332,10,320.91,193.75,35.37,42.58,1,train
360,333,10,320.36,193.02,35.02,44.24,1,train
361,334,10,319.23,193.16,35.44,44.28,1,train
362,335,10,319.55,195.64,36.26,43.18,1,train
363,336,10,324.29,194.03,34.12,42.6,1,train
364,337,10,323.56,193.68,47.43,43.21,1,train
365,338,8,324.61,191.2,56.98,41.98,1,train
366,339,8,323.63,189.65,59.48,40.99,1,train
367,340,8,329.22,188.49,52.64,41.36,1,train
368,342,8,361.79,188.37,34.21,42.5,1,train
369,343,8,366.04,188.19,37.08,41.77,1,train
370,344,8,368.95,187.81,37.63,41.82,1,train
371,345,8,369.97,187.14,38.58,42.19,1,train
372,346,8,369.77,187.2,39.09,42.01,1,train
373,347,8,347.09,187.68,62.41,42.26,1,train
374,348,8,344.74,187.37,64.81,43.11,1,train
375,349,8,345.63,187.99,64.47,44.23,1,train
376,350,8,345.64,188.55,65.68,44.19,1,train
377,351,8,295.91,188.45,116.74,45.0,1,train
378,352,8,296.63,189.4,119.4,43.83,1,train
379,353,8,297.44,189.27,119.6,43.31,1,train
380,354,8,344.35,189.73,68.54,40.92,1,train
381,355,8,372.9,190.78,37.42,40.7,1,train
382,356,10,369.57,190.5,38.02,40.03,1,train
383,357,10,368.33,190.1,38.01,40.19,1,train
384,358,10,356.38,189.69,51.79,40.19,1,train
385,359,10,357.88,188.28,51.1,41.14,1,train
386,360,8,336.47,188.29,70.37,41.13,1,train
387,361,8,335.2,187.3,71.8,41.76,1,train
388,361,9,233.35,189.59,73.8,38.23,1,train
389,362,9,232.93,185.76,72.06,42.3,1,train
390,363,8,307.56,188.66,91.4,41.84,1,train
391,363,9,232.11,187.44,56.48,42.78,1,train
392,364,8,266.74,184.55,129.85,48.71,1,train
393,366,8,323.57,189.55,81.63,47.28,1,train
394,367,8,293.13,189.34,77.87,47.96,1,train
395,369,8,262.46,191.0,107.28,44.36,1,train
396,369,10,392.11,191.86,38.55,46.53,1,train
397,370,8,250.12,181.34,174.54,56.16,1,train
398,371,8,321.13,191.17,100.86,45.19,1,train
399,372,8,283.2,187.38,134.88,47.99,1,train
400,373,10,379.9,190.67,35.4,45.48,1,train
401,373,11,310.28,191.15,46.24,41.57,1,train
402,374,10,309.09,188.28,88.0,48.15,1,train
403,375,10,307.86,188.28,99.33,46.51,1,train
404,376,10,307.95,187.06,96.04,46.37,1,train
405,377,10,307.57,187.15,89.78,45.45,1,train
406,378,10,307.7,186.57,86.01,46.19,1,train
407,379,8,307.75,187.43,87.36,47.48,1,train
408,380,8,317.62,191.28,78.45,45.91,1,train
409,381,8,309.27,191.4,88.75,46.09,1,train
410,382,8,310.6,190.72,85.19,47.15,1,train
411,383,10,310.88,196.07,84.74,42.22,1,train
412,384,10,331.15,191.52,78.24,48.01,1,train
413,385,10,330.91,191.45,78.85,47.75,1,train
414,386,10,311.7,188.49,96.86,50.46,1,train
415,387,8,311.76,195.52,22.03,31.07,1,train
416,387,10,361.21,187.75,45.82,51.41,1,train
417,388,8,309.73,193.2,24.37,33.72,1,train
418,388,10,360.01,186.86,45.07,50.41,1,train
419,389,8,306.93,192.66,26.46,35.5,1,train
420,389,10,358.53,186.3,43.05,51.78,1,train
421,390,8,286.15,185.51,114.3,52.77,1,train
422,390,9,220.22,177.22,55.97,66.07,1,train
423,391,8,284.92,187.79,98.64,50.31,1,train
424,392,8,283.38,186.76,100.28,52.41,1,train
425,393,8,281.62,185.29,101.27,55.42,1,train
426,394,8,275.9,192.75,31.06,37.64,1,train
427,394,10,337.07,186.76,41.59,53.53,1,train
428,395,10,336.58,187.01,39.51,52.28,1,train
429,396,8,272.8,190.69,33.23,38.29,1,train
430,396,10,337.48,186.61,42.1,53.17,1,train
431,397,8,272.59,189.79,34.5,39.17,1,train
432,397,10,338.87,184.6,43.79,56.37,1,train
433,398,8,273.33,191.27,34.66,36.13,1,train
434,398,10,341.12,183.15,43.36,57.87,1,train
435,399,8,274.09,192.36,33.42,34.75,1,train
436,399,10,343.07,181.87,43.26,59.01,1,train
437,400,8,274.42,190.63,21.62,37.84,1,train
438,400,10,345.1,182.01,41.4,56.49,1,train
439,401,8,275.02,192.71,42.61,35.65,1,train
440,401,10,347.99,183.1,47.36,57.64,1,train
441,402,8,274.52,184.11,120.92,57.01,1,train
442,403,8,273.24,194.7,22.06,34.52,1,train
443,403,10,341.25,184.56,55.74,58.68,1,train
444,404,8,271.67,194.38,24.43,35.66,1,train
445,404,10,340.2,184.86,58.32,60.78,1,train
446,405,8,270.71,194.13,24.86,35.25,1,train
447,405,10,340.31,185.09,59.52,61.92,1,train
448,406,8,269.43,191.73,26.43,40.34,1,train
449,406,10,341.32,184.95,58.77,62.74,1,train
450,407,8,268.3,193.6,39.13,36.97,1,train
451,407,10,337.33,184.67,63.91,63.91,1,train
452,408,8,264.5,192.11,42.2,40.1,1,train
453,408,10,335.53,183.85,66.08,64.51,1,train
454,409,8,258.72,190.26,46.59,44.05,1,train
455,409,10,333.42,184.06,66.95,64.96,1,train
456,410,8,257.37,189.49,28.92,43.31,1,train
457,410,10,331.52,183.07,74.95,67.84,1,train
458,411,8,256.56,187.54,27.93,42.92,1,train
459,411,10,330.85,181.24,77.65,69.49,1,train
460,412,8,254.72,184.79,41.45,44.57,1,train
461,412,10,329.38,178.1,47.45,67.37,1,train
462,413,8,254.34,184.33,40.63,43.4,1,train
463,413,10,329.34,177.42,84.18,72.04,1,train
464,414,8,253.74,183.0,39.43,45.43,1,train
465,414,10,325.92,178.07,89.05,71.75,1,train
466,415,8,248.07,183.01,45.87,45.56,1,train
467,415,10,322.86,176.76,91.83,74.1,1,train
468,416,8,245.87,180.25,46.51,47.98,1,train
469,416,10,320.04,176.1,94.49,72.17,1,train
470,417,8,243.36,180.0,29.45,47.84,1,train
471,417,10,318.11,176.1,95.93,74.35,1,train
472,418,8,237.77,180.92,31.86,48.27,1,train
473,418,10,312.95,175.26,98.66,75.76,1,train
474,419,8,234.71,180.22,33.3,50.43,1,train
475,419,10,299.85,176.84,105.22,76.09,1,train
476,420,10,298.14,177.75,103.07,74.95,1,train
477,421,10,297.67,183.42,103.38,69.9,1,train
478,422,10,298.46,187.35,91.34,65.83,1,train
479,423,10,298.03,183.85,110.81,76.05,1,train
480,424,8,216.25,183.11,33.27,49.36,1,train
481,424,10,345.25,181.94,66.23,79.34,1,train
482,424,12,297.39,190.39,21.52,34.21,1,train
483,425,8,211.61,181.53,35.92,51.07,1,train
484,425,10,345.9,179.28,49.93,75.25,1,train
485,425,12,296.52,189.25,20.92,34.83,1,train
486,426,8,209.45,180.72,36.52,51.87,1,train
487,426,10,295.72,178.28,101.19,73.73,1,train
488,427,8,207.62,180.42,37.23,52.1,1,train
489,427,10,295.78,176.33,102.18,76.15,1,train
490,428,8,207.31,181.69,36.71,50.38,1,train
491,428,10,351.98,174.94,48.87,77.59,1,train
492,428,12,296.71,186.33,23.36,32.79,1,train
493,429,8,208.58,177.56,37.31,53.7,1,train
494,429,10,298.03,174.35,112.47,78.56,1,train
495,430,8,206.77,179.24,35.4,52.99,1,train
496,430,10,297.43,174.8,113.08,81.68,1,train
497,431,8,205.5,180.21,33.8,52.0,1,train
498,431,10,296.33,174.68,123.15,83.65,1,train
499,432,8,260.45,170.78,128.46,90.15,1,train
500,432,13,204.27,179.49,33.36,53.56,1,train
501,433,8,260.99,167.66,132.55,95.32,1,train
502,433,13,205.65,178.42,33.7,55.41,1,train
503,434,13,208.52,177.87,35.32,56.39,1,train
504,434,14,302.82,169.36,127.05,96.29,1,train
505,435,8,213.0,178.37,34.13,56.2,1,train
506,435,14,306.88,178.18,45.41,43.87,1,train
507,436,8,215.87,179.56,33.69,56.78,1,train
508,436,15,413.61,179.07,47.66,90.74,1,train
509,437,8,218.24,178.87,33.37,59.35,1,train
510,437,14,312.86,194.87,14.49,30.27,1,train
511,438,8,221.02,181.13,29.34,58.6,1,train
512,438,14,316.64,195.58,11.09,31.0,1,train
513,439,8,226.07,183.89,30.37,56.43,1,train
514,439,12,285.86,194.88,62.61,32.56,1,train
515,440,8,230.2,184.64,29.89,57.74,1,train
516,440,14,327.93,195.79,26.8,32.57,1,train
517,441,8,233.46,183.55,28.32,59.68,1,train
518,441,14,334.34,196.87,21.37,31.58,1,train
519,442,8,234.76,182.83,28.76,60.53,1,train
520,443,8,241.12,181.99,29.97,59.84,1,train
521,444,8,245.21,180.24,29.0,60.35,1,train
522,445,8,247.25,180.16,28.7,60.48,1,train
523,445,14,353.7,193.72,24.92,30.18,1,train
524,446,8,248.03,179.6,27.87,60.85,1,train
525,446,14,354.92,193.99,24.14,29.49,1,train
526,447,8,246.83,179.97,28.9,60.97,1,train
527,447,14,354.8,192.82,24.16,30.87,1,train
528,448,8,239.94,180.65,28.85,60.75,1,train
529,448,14,346.65,192.65,32.96,31.92,1,train
530,449,8,236.41,182.59,22.54,61.16,1,train
531,449,14,334.29,193.25,26.73,32.64,1,train
532,451,16,202.1,183.76,39.65,61.11,1,train
533,452,10,318.22,195.62,25.18,29.64,1,train
534,452,16,193.27,184.09,39.89,61.78,1,train
535,453,10,309.38,195.75,34.67,28.82,1,train
